Business Name,Contact Name,Phone,Email,Website,City,State,Zip,Lead Score,Flags,Notes,Source URL
Texas Sky Roofing,,(726) 335-6718,,,San Antonio,TX,78204,90,Low reviews; Low rating; Weak SEO signals; No ads detected; No website,Texas Sky Roofing has no website — losing leads daily to competitors. | Rating 3.9 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Texas+Sky+Roofing+San+Antonio+TX
SA Wiring Pros,,(210) 481-9984,,,San Antonio,TX,78223,90,Low reviews; Low rating; Weak SEO signals; No ads detected; No website,SA Wiring Pros has no website — losing leads daily to competitors. | Rating 2.9 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=SA+Wiring+Pros+San+Antonio+TX
SA Family Law #6,,(726) 417-9179,,,San Antonio,TX,78229,80,Low rating; No ads detected; Weak SEO signals; No website,SA Family Law #6 has no website — losing leads daily to competitors. | Rating 3.4 below 4.2 — reputation management needed. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=SA+Family+Law+#6+San+Antonio+TX
River City Build,,(726) 245-8144,,,San Antonio,TX,78201,80,Low rating; No ads detected; Weak SEO signals; No website,River City Build has no website — losing leads daily to competitors. | Rating 3.7 below 4.2 — reputation management needed. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=River+City+Build+San+Antonio+TX
Alamo Aesthetics #37,,(726) 910-3503,,,San Antonio,TX,78213,80,Low reviews; Low rating; Weak SEO signals; No ads detected; No website,Alamo Aesthetics #37 has no website — losing leads daily to competitors. | Rating 3.4 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Alamo+Aesthetics+#37+San+Antonio+TX
Texas Breeze AC #68,,(726) 567-7141,,,San Antonio,TX,78230,80,Low reviews; Low rating; High competition niche; No ads detected; No website,Texas Breeze AC #68 has no website — losing leads daily to competitors. | Rating 3.4 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Texas+Breeze+AC+#68+San+Antonio+TX
Riverwalk Cantina,,(830) 899-4945,,,San Antonio,TX,78240,80,Low reviews; Low rating; High competition niche; No ads detected; No website,Riverwalk Cantina has no website — losing leads daily to competitors. | Rating 3.2 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Riverwalk+Cantina+San+Antonio+TX
River City Plumbing #73,,(830) 573-3153,,,San Antonio,TX,78204,80,Low reviews; Low rating; Outdated/Missing web presence; No ads detected; No website,River City Plumbing #73 has no website — losing leads daily to competitors. | Rating 4.1 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=River+City+Plumbing+#73+San+Antonio+TX
San Antonio Skin Studio,,(210) 834-6374,,,San Antonio,TX,78216,80,Low reviews; Low rating; Weak SEO signals; No ads detected; No website,San Antonio Skin Studio has no website — losing leads daily to competitors. | Rating 4.1 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=San+Antonio+Skin+Studio+San+Antonio+TX
SA Wiring Pros,,(726) 318-2592,,,San Antonio,TX,78216,80,Low reviews; Low rating; High competition niche; No ads detected; No website,SA Wiring Pros has no website — losing leads daily to competitors. | Rating 3.6 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=SA+Wiring+Pros+San+Antonio+TX
